id,flowerName,scientificName,family,genus,bloomMonths,birthMonth,birthDay,seasons,origin,sourceUrl,retrievedDate,citationMemo
1,染井吉野,,,,,4,1,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月1日掲載名
2,桜,,,,,4,1,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月1日掲載名
3,アネモネ,,,,,4,2,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月2日掲載名
4,シロツメクサ,,,,,4,2,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月2日掲載名
5,ミヤコワスレ,,,,,4,2,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月2日掲載名
6,ナルシッサス・オドルス,,,,,4,3,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月3日掲載名
7,クジャクアスター,,,,,4,3,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月3日掲載名
8,カスミソウ,,,,,4,4,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月4日掲載名
9,シュッコンカスミソウ,,,,,4,4,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月4日掲載名
10,イチジク,,,,,4,5,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月5日掲載名
11,ワスレナグサ,,,,,4,5,,,https://www.flower-db.com/ja/april-birth-flowers,2026-04-12,4月5日掲載名
12,バラ,,,,,6,1,,,https://www.flower-db.com/ja/flowers/rozaxhybrids,2026-04-12,代表日（複数候補の先頭）
13,ヒマワリ,,,,,8,22,,,https://www.flower-db.com/ja/flowers/helianthus-annuus-l,2026-04-12,代表日（ページ先頭表示）
14,カーネーション,,,,,5,13,,,https://www.flower-db.com/ja/flowers/dianthus-caryophyllus,2026-04-12,代表日（複数候補の先頭）
15,ガーベラ,,,,,10,12,,,https://www.flower-db.com/ja/articles/gerbera-hybrid,2026-04-12,代表日（記事見出し）
16,ラベンダー,,,,,7,5,,,https://www.flower-db.com/ja/flowers/lavandula-stoechas,2026-04-12,代表日（ページ先頭表示）
17,アジサイ,,,,,6,3,,,https://www.flower-db.com/ja/flowers/hydrangea-macrophylla,2026-04-12,代表日（ページ先頭表示）
18,コスモス,,,,,10,22,,,https://www.flower-db.com/ja/flowers/cosmos-bipinnatus,2026-04-12,代表日（複数候補の先頭）
19,キキョウ,,,,,9,1,,,https://www.flower-db.com/ja/flowers/platycodon-grandiflorus,2026-04-12,代表日（複数候補の先頭）
20,マリーゴールド,,,,,6,5,,,https://www.flower-db.com/ja/articles/tagetes-patula-df346a9f-7e10-48e4-8d0e-3481f6967e9d,2026-04-12,代表日（記事見出し）
21,ダリア,,,,,6,5,,,https://www.flower-db.com/ja/flowers/dahlia-pinnata,2026-04-12,代表日（複数候補の先頭）
22,チューリップ,,,,,3,20,,,https://www.flower-db.com/ja/articles/lathyrus-odoratus-0f032e95-6af7-4e35-90e0-2bbef5d1d53e,2026-04-12,代表日（記事見出し）
23,スイセン,,,,,1,2,,,https://www.flower-db.com/ja/articles/special-features-narcissus,2026-04-12,代表日（特集内先頭）
24,ユリ,,,,,7,14,,,https://www.flower-db.com/ja/flowers/lilium,2026-04-12,代表日（ページ先頭表示）
25,スズラン,,,,,5,28,,,https://www.flower-db.com/ja/articles/hippeastrum-x-hybridum-2ca34a87-b64d-4498-a99c-b2f0d7b1df98,2026-04-12,代表日（記事見出し）
26,ツバキ,,,,,11,11,,,https://www.flower-db.com/ja/flowers/camellia-japonica,2026-04-12,代表日（ページ先頭表示）
27,ボタン,,,,,5,7,,,https://www.flower-db.com/ja/flowers/paeonia-suffruticosa,2026-04-12,代表日（ページ先頭表示）
28,シャクヤク,,,,,6,16,,,https://www.flower-db.com/ja/flowers/paeonia-lactiflora,2026-04-12,代表日（ページ先頭表示）
29,キク,,,,,9,9,,,https://www.flower-db.com/ja/flowers/chrysanthemum-morifolium,2026-04-12,代表日（ページ先頭表示）
30,ウメ,,,,,2,1,,,https://www.flower-db.com/ja/flowers/prunus-mume,2026-04-12,代表日（ページ先頭表示）
31,モモ,,,,,3,3,,,https://www.flower-db.com/ja/flowers/prunus-persica,2026-04-12,代表日（ページ先頭表示）
32,フジ,,,,,5,31,,,https://www.flower-db.com/ja/flowers/wisteria-floribunda,2026-04-12,代表日（ページ先頭表示）
33,ハス,,,,,7,8,,,https://www.flower-db.com/ja/flowers/nelumbo-nucifera,2026-04-12,代表日（ページ先頭表示）
34,スミレ,,,,,2,21,,,https://www.flower-db.com/ja/flowers/viola-mandshurica,2026-04-12,代表日（ページ先頭表示）
35,シクラメン,,,,,12,22,,,https://www.flower-db.com/ja/flowers/cyclamen-persicum,2026-04-12,代表日（ページ先頭表示）
36,サザンカ,,,,,11,16,,,https://www.flower-db.com/en/flowers/camellia-sasanqua,2026-04-12,代表日（ページ先頭表示）
37,キンモクセイ,,,,,11,2,,,https://www.flower-db.com/ja/flowers/osmanthus-fragrans-var-aurantiacus,2026-04-12,代表日（ページ先頭表示）
38,リンドウ,,,,,9,16,,,https://www.flower-db.com/ja/flowers/gentiana-scabra,2026-04-12,代表日（ページ先頭表示）
39,ホタルブクロ,,,,,6,10,,,https://www.flower-db.com/ja/flowers/campanula-punctata,2026-04-12,代表日（ページ先頭表示）
40,スイートピー,,,,,3,15,,,https://www.flower-db.com/ja/flowers/lathyrus-odoratus,2026-04-12,代表日（ページ先頭表示）
41,ハイビスカス,,,,,7,11,,,https://www.flower-db.com/ja/articles/hibiscus-hybrids-e5968d88-1d2f-4813-8f13-bfbb7903ba59,2026-04-12,代表日（記事見出し）
42,バイモユリ,,,,,4,10,,,https://www.flower-db.com/ja/flowers/fritillaria-thunbergii,2026-04-12,代表日（ページ先頭表示）
43,カタクリ,,,,,3,24,,,https://www.flower-db.com/ja/flowers/erythronium-japonicum,2026-04-12,代表日（ページ先頭表示）
44,オオイヌノフグリ,,,,,2,20,,,https://www.flower-db.com/ja/flowers/veronica-persica,2026-04-12,代表日（ページ先頭表示）
45,ネモフィラ,,,,,4,30,,,https://www.flower-db.com/ja/flowers/nemophila-menziesii,2026-04-12,代表日（ページ先頭表示）
46,ルピナス,,,,,5,7,,,https://www.flower-db.com/ja/flowers/lupinus-polyphyllus,2026-04-12,代表日（ページ先頭表示）
47,アヤメ,,,,,5,10,,,https://www.flower-db.com/ja/flowers/iris-sanguinea,2026-04-12,代表日（ページ先頭表示）
48,ハナミズキ,,,,,4,15,,,https://www.flower-db.com/ja/flowers/cornus-florida,2026-04-12,代表日（ページ先頭表示）
49,ドクダミ,,,,,5,15,,,https://www.flower-db.com/ja/flowers/houttuynia-cordata,2026-04-12,代表日（ページ先頭表示）
50,ノウゼンカズラ,,,,,8,6,,,https://www.flower-db.com/ja/flowers/campsis-grandiflora,2026-04-12,代表日（ページ先頭表示）
51,オミナエシ,,,,,9,15,,,https://www.flower-db.com/ja/flowers/patrinia-scabiosifolia,2026-04-12,代表日（ページ先頭表示）
52,ヒガンバナ,,,,,9,23,,,https://www.flower-db.com/ja/flowers/lycoris-radiata,2026-04-12,代表日（ページ先頭表示）
53,ケイトウ,,,,,8,24,,,https://www.flower-db.com/ja/flowers/celosia-argentea,2026-04-12,代表日（ページ先頭表示）
54,サルビア,,,,,10,5,,,https://www.flower-db.com/ja/flowers/salvia-splendens,2026-04-12,代表日（ページ先頭表示）
55,コチョウラン,,,,,7,1,,,https://www.flower-db.com/ja/flowers/phalaenopsis-aphrodite,2026-04-12,代表日（ページ先頭表示）
56,オンシジウム,,,,,11,18,,,https://www.flower-db.com/ja/flowers/oncidium,2026-04-12,代表日（ページ先頭表示）
57,デンドロビウム,,,,,12,9,,,https://www.flower-db.com/ja/flowers/dendrobium,2026-04-12,代表日（ページ先頭表示）
58,シンビジウム,,,,,1,17,,,https://www.flower-db.com/ja/flowers/cymbidium,2026-04-12,代表日（ページ先頭表示）
59,プリムラ,,,,,2,4,,,https://www.flower-db.com/ja/flowers/primula-polianta,2026-04-12,代表日（ページ先頭表示）
60,マトリカリア,,,,,6,7,,,https://www.flower-db.com/ja/flowers/matricaria-chamomilla,2026-04-12,代表日（ページ先頭表示）
61,ストック,,,,,2,10,,,https://www.flower-db.com/ja/flowers/matthiola-incana,2026-04-12,代表日（ページ先頭表示）
62,カンパニュラ,,,,,4,5,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
63,ペチュニア,,,,,4,6,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
64,ニチニチソウ,,,,,7,7,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
65,インパチェンス,,,,,7,8,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
66,ベゴニア,,,,,4,9,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
67,クレマチス,,,,,4,10,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
68,ブルースター,,,,,4,11,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
69,アルストロメリア,,,,,4,12,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
70,トルコキキョウ,,,,,7,13,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
71,エキナセア,,,,,7,14,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
72,ジニア,,,,,7,15,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
73,ポピー,,,,,4,16,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
74,フリージア,,,,,1,17,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
75,ムスカリ,,,,,4,18,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
76,ヒヤシンス,,,,,4,19,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
77,クロッカス,,,,,4,20,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
78,スノードロップ,,,,,1,21,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
79,クリスマスローズ,,,,,1,22,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
80,ヘリオトロープ,,,,,7,23,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
81,オシロイバナ,,,,,7,24,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
82,パンジー,,,,,1,25,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
83,ビオラ,,,,,1,26,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
84,ゼラニウム,,,,,4,27,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
85,カラー,,,,,4,28,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
86,アイリス,,,,,4,1,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
87,ジャスミン,,,,,7,2,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
88,クチナシ,,,,,7,3,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
89,ライラック,,,,,4,4,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
90,スターチス,,,,,7,5,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
91,アガパンサス,,,,,7,6,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
92,ロベリア,,,,,4,7,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
93,ネリネ,,,,,10,8,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
94,サフラン,,,,,10,9,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
95,アマリリス,,,,,1,10,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
96,グロリオサ,,,,,7,11,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
97,カモミール,,,,,4,12,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
98,ツユクサ,,,,,7,13,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
99,ホオズキ,,,,,7,14,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
100,オダマキ,,,,,4,15,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
101,デルフィニウム,,,,,4,16,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
102,ラナンキュラス,,,,,4,17,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
103,ストレリチア,,,,,7,18,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
104,キンセンカ,,,,,4,19,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
105,ブーゲンビリア,,,,,7,20,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
106,アリウム,,,,,4,21,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
107,ハルジオン,,,,,4,22,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
108,エーデルワイス,,,,,7,23,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
109,サンダーソニア,,,,,7,24,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
110,リシマキア,,,,,4,25,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
111,マンサク,,,,,1,26,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
112,ロウバイ,,,,,1,27,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
113,オキザリス,,,,,10,28,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
114,セツブンソウ,,,,,1,1,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
115,ユキヤナギ,,,,,4,2,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
116,ナデシコ,,,,,4,3,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
117,カランコエ,,,,,1,4,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
118,ニゲラ,,,,,4,5,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
119,ヘメロカリス,,,,,7,6,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
120,グラジオラス,,,,,7,7,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
121,バーベナ,,,,,4,8,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
122,エリンジウム,,,,,7,9,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
123,アスチルベ,,,,,4,10,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
124,ペンタス,,,,,7,11,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
125,クフェア,,,,,7,12,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
126,シバザクラ,,,,,4,13,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
127,フクジュソウ,,,,,1,14,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
128,ミモザ,,,,,4,15,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
129,ブルーサルビア,,,,,7,16,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
130,コルチカム,,,,,10,17,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
131,ヒメジョオン,,,,,4,18,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
132,ミニバラ,,,,,4,19,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
133,モクレン,,,,,4,20,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
134,ハマナス,,,,,7,21,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
135,カンナ,,,,,7,22,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
136,ベルガモット,,,,,7,23,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
137,ルドベキア,,,,,7,24,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
138,サンタンカ,,,,,7,25,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
139,ユキノシタ,,,,,4,26,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
140,ノースポール,,,,,1,27,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
141,バコパ,,,,,4,28,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
142,キンギョソウ,,,,,4,1,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
